# Valores del semieje mayor de la órbita de la Luna (a), 
# longitud del día terrestre (LOD) y frecuencia de precesión (p) en función del tiempo.
#
# Datos recolectados de Farhat et al. (2022).
#
# t = 0 corresponde al presente.
#
#   1        2           3            4          5              6              7
# t [Ga] &  a [Rt]  & err a [Rt] & LOD [hr] & err LOD [hr] & p [arcsec/yr] & err p [arcsec/yr]
#
  0.000     60.142611   0.00    23.934468   0.00    50.467718   0.00

# Cyclostratigrphic data
  0.055     59.94   0.26    23.80   0.24    51.28   1.02
  0.268     58.57   0.31    22.56   0.27    57.01   1.37
  0.270     58.95   0.12    22.90   0.11    55.36   0.51
  0.445     58.52   0.12    22.53   0.10    57.19   0.53
  0.493     57.88   0.34    21.99   0.28    60.11   1.59
  0.500     57.67   0.20    21.82   0.16    61.06   0.94
  1.400     53.27   0.41    18.70   0.25    85.79   2.72
  2.460     50.24   0.96    16.98   0.50    108.91  8.28


# Tidal rythmites data
  0.310     58.89   0.59    22.85   0.52    55.60   2.55
  0.620     56.04   0.03    20.56   0.02    69.24   0.13
  0.620     58.22   0.28    22.27   0.23    58.55   1.24
  0.900     55.06   1.44    19.87   0.99    74.68   8.32
  2.450     52.01   2.29    17.95   1.32    94.71   17.19
  2.450     54.66   1.18    19.59   0.79    77.04   7.03
  3.200     46.45   1.50    15.17   0.65    148.36  18.61
