age (Ga)    Tp (K)
0.46    1717.0
0.8    1746.0
0.8    1722.0
0.8    1761.0
1.3    1788.0
1.765    1783.0
1.87    1877.0
1.87    1821.0
1.87    1842.0
1.87    1822.0
1.87    1829.0
1.87    1841.0
1.87    1803.0
1.87    1797.0
1.87    1799.0
1.87    1821.0
1.87    1833.0
1.87    1840.0
2.056    1806.0
2.5    1883.0
2.5    1812.0
2.55    1914.0
2.7    1835.0
2.7    1831.0
2.8    1864.0
2.8    1875.0
2.98    1782.0
3.075    1833.0
3.075    1805.0
3.255    1898.0
3.34    1893.0
3.45    1823.0
3.52    1746.0
