age (Ma)	T P (oC)c	Pi (GPa)f	Pf (GPa)g	P prom (GPA)	z (km)
3520	1473	3.3	0.8	2.0	71.225
3340	1620	6.5	2.2	4.4	152.25
3450	1550	4.2	1.5	2.8	99.05
3075	1560	4.4	1.8	3.1	108.15
3075	1532	3.8	1.0	2.4	84.525
2800	1591	5.3	1.5	3.4	119
2800	1602	5.7	2.1	3.9	136.85
2500	1610	6.0	1.7	3.9	135.275
2500	1539	4.0	1.5	2.7	95.375
1765	1510	3.6	2.0	2.8	97.3
2056	1533	3.9	1.5	2.7	93.625
1300	1515	3.6	1.1	2.4	82.425
800	1473	3.3	0.6	1.9	67.725
800	1449	3.2	0.6	1.9	65.625
800	1488	3.4	0.8	2.1	72.975
1870	1604	5.8	2.9	4.4	152.425
1870	1548	4.1	1.7	2.9	100.975
1870	1569	4.6	2.0	3.3	115.5
1870	1549	4.1	1.9	3.0	105.175
1870	1556	4.3	1.7	3.0	104.65
1870	1568	4.6	2.0	3.3	114.975
1870	1530	3.8	1.5	2.7	92.75
1870	1524	3.7	1.5	2.6	91.35
1870	1526	3.8	1.5	2.6	91.875
1870	1548	4.1	1.8	3.0	103.775
1870	1560	4.4	1.8	3.1	107.975
1870	1567	4.5	2.0	3.3	114.45
2550	1641	7.6	2.8	5.2	182.175
460	1444	3.1	2.2	2.7	93.1
3255	1625	6.7	4.1	5.4	189.7
2700	1562	4.4	1.9	3.2	110.6
2980	1509	3.6	1.3	2.4	84.875
2700	1558	4.3	1.1	2.7	95.025
